********************************************************************************
product = WebSphere Application Server 8.5.5.4 (wlp-1.0.7.cl50420141211-1039)
wlp.install.dir = C:/eclipse/configuration/org.eclipse.osgi/1273/0/.cp/resources/server_runtime/
server.config.dir = C:/Users/user/ASE_lab9/.metadata/.plugins/com.ibm.etools.wdt.server.core/tmp0/usr/servers/defaultServer0/
java.home = C:\Program Files\Java\jdk1.7.0_79\jre
java.version = 1.7.0_79
java.runtime = Java(TM) SE Runtime Environment (1.7.0_79-b15)
os = Windows 7 (6.1; amd64) (en_US)
process = 4204@user-PC
********************************************************************************
[11/4/15 21:36:18:098 CST] 00000001 com.ibm.ws.kernel.launch.internal.FrameworkManager           A CWWKE0001I: The server defaultServer0 has been launched.
[11/4/15 21:36:19:569 CST] 00000001 com.ibm.ws.kernel.launch.internal.FrameworkManager           I CWWKE0002I: The kernel started after 1.755 seconds
[11/4/15 21:36:19:597 CST] 00000017 com.ibm.ws.kernel.feature.internal.FeatureManager            I CWWKF0007I: Feature update started.
[11/4/15 21:36:21:436 CST] 0000000f com.ibm.ws.app.manager.internal.monitor.DropinMonitor        A CWWKZ0058I: Monitoring dropins for applications. 
[11/4/15 21:36:21:915 CST] 0000001b com.ibm.ws.tcpchannel.internal.TCPChannel                    I CWWKO0219I: TCP Channel defaultHttpEndpoint has been started and is now listening for requests on host *  (IPv6) port 8080.
[11/4/15 21:36:22:330 CST] 00000021 com.ibm.ws.app.manager.AppMessageHelper                      I CWWKZ0018I: Starting application proxy.
[11/4/15 21:36:22:330 CST] 00000020 com.ibm.ws.app.manager.AppMessageHelper                      I CWWKZ0018I: Starting application TradeMonitoing123.
[11/4/15 21:36:23:044 CST] 00000021 com.ibm.ws.webcontainer.osgi.webapp.WebGroup                 I SRVE0169I: Loading Web Module: Ajax Proxy for IBM WebSphere.
[11/4/15 21:36:23:048 CST] 00000021 com.ibm.ws.webcontainer                                      I SRVE0250I: Web Module Ajax Proxy for IBM WebSphere has been bound to default_host.
[11/4/15 21:36:23:050 CST] 00000021 com.ibm.ws.http.internal.VirtualHostImpl                     A CWWKT0016I: Web application available (default_host): http://192.168.0.5:8080/proxy/
[11/4/15 21:36:23:057 CST] 00000021 com.ibm.ws.app.manager.AppMessageHelper                      A CWWKZ0001I: Application proxy started in 0.728 seconds.
[11/4/15 21:36:23:568 CST] 00000020 com.ibm.ws.webcontainer.osgi.webapp.WebGroup                 I SRVE0169I: Loading Web Module: TradeMonitoing123.
[11/4/15 21:36:23:569 CST] 00000020 com.ibm.ws.webcontainer                                      I SRVE0250I: Web Module TradeMonitoing123 has been bound to default_host.
[11/4/15 21:36:23:569 CST] 00000020 com.ibm.ws.http.internal.VirtualHostImpl                     A CWWKT0016I: Web application available (default_host): http://192.168.0.5:8080/TradeMonitoing123/
[11/4/15 21:36:23:570 CST] 00000020 com.ibm.ws.app.manager.AppMessageHelper                      A CWWKZ0001I: Application TradeMonitoing123 started in 1.241 seconds.
[11/4/15 21:36:23:606 CST] 00000017 com.ibm.ws.kernel.feature.internal.FeatureManager            A CWWKF0012I: The server installed the following features: [localConnector-1.0, json-1.0, jsp-2.2, jaxrs-1.1, servlet-3.0].
[11/4/15 21:36:23:606 CST] 00000017 com.ibm.ws.kernel.feature.internal.FeatureManager            I CWWKF0008I: Feature update completed in 4.040 seconds.
[11/4/15 21:36:23:607 CST] 00000017 com.ibm.ws.kernel.feature.internal.FeatureManager            A CWWKF0011I: The server defaultServer0 is ready to run a smarter planet.
[11/4/15 21:36:24:714 CST] 00000023 com.ibm.ws.session.WASSessionCore                            I SESN8501I: The session manager did not find a persistent storage location; HttpSession objects will be stored in the local application server's memory.
[11/4/15 21:36:24:719 CST] 00000023 com.ibm.ws.session.WASSessionCore                            I SESN0176I: A new session context will be created for application key default_host/TradeMonitoing123
[11/4/15 21:36:24:740 CST] 00000023 com.ibm.ws.util                                              I SESN0172I: The session manager is using the Java default SecureRandom implementation for session ID generation.
